type,b_price,b_amount,type,s_price,s_amount
b,9116,0.1,s,10288,0.1
b,9115.9,0.334,s,10295,0.5
b,9115,0.035,s,10299,0.098
b,9113.7,0.01,s,10300,10.65
b,9113,1.187,s,10300.4,0.003
b,9112.6,0.4,s,10305.3,0.003
b,9112.5,0.01,s,10307,1.5
b,9112.4,0.054,s,10312,0.5
b,9112,1.301,s,10318,0.3
b,9111.5,0.2,s,10320,1
b,9111.1,0.55,s,10325,0.049
b,9111,3.567,s,10330,0.148
b,9110,2.828,s,10333,0.872
b,9109.1,0.25,s,10336.3,0.013
b,9108,0.25,s,10337,0.5
b,9107.8,0.01,s,10338,1.504
b,9107.4,0.22,s,10340,0.261
b,9107.1,0.03,s,10342,0.2
b,9106.8,0.002,s,10346,2
b,9106.1,0.1,s,10347.7,0.025
b,9106,5.1,s,10348,0.5
b,9105,8.05,s,10350,0.64
b,9104.4,0.01,s,10355,0.823
b,9104,5.055,s,10362,0.5
b,9102,0.4,s,10366.1,0.317
b,9101.7,0.01,s,10371.1,0.008
b,9101.5,0.01,s,10372,5
b,9101,8.67,s,10372.9,0.04
b,9100.9,0.1,s,10375,0.149
b,9100.5,0.003,s,10376,0.01
b,9100.4,0.018,s,10377,2
b,9100.1,0.003,s,10379,0.101
b,9100,32.043,s,10380,20
b,9099.9,0.05,s,10385,0.003
b,9099,1.036,s,10387,0.5
b,9098.6,0.01,s,10388,0.003
b,9097,0.1,s,10388.7,0.025
b,9096,0.1,s,10388.8,0.05
b,9095.1,0.01,s,10390,2.13
b,9095,7.365,s,10392.9,0.009
b,9093,0.27,s,10395,0.04
b,9091,0.51,s,10397.4,0.012
b,9090,1.129,s,10399,0.327
b,9089.4,0.01,s,10400,16.648
b,9089.3,0.25,s,10401.3,0.05
b,9089,1,s,10406.4,0.05
b,9088.9,0.334,s,10407.6,0.006
b,9088,4.8,s,10409,0.013
b,9087,2,s,10409.7,0.003
b,9086,0.1,s,10412,0.5
b,9085.8,0.01,s,10418,1
b,9085,1,s,10423.6,4.033
b,9084,0.193,s,10425,0.048
b,9082.5,0.006,s,10430,0.002
b,9082,0.12,s,10431,0.052
